model_key,relation_key,n_hall,n_refusal,n_total,hall_rate,behavior_metric,linearity_score,n_train,n_test,subject_layer,object_layer,hidden_state_subject_index,hidden_state_object_index,dataset
mistral_7b_instruct,superhero_archnemesis,58,142,200,0.29,hallucination_rate,0.4319022019511251,72,24,16,30,17,31,SyntHal
mistral_7b_instruct,superhero_person,12,188,200,0.06,hallucination_rate,0.5150375478674858,75,25,16,30,17,31,SyntHal
qwen2_5_7b_instruct,company_ceo,90,110,200,0.45,hallucination_rate,0.386550254023895,223,75,14,26,15,27,SyntHal
qwen2_5_7b_instruct,company_hq,195,5,200,0.975,hallucination_rate,0.477417524457252,505,169,14,26,15,27,SyntHal
qwen2_5_7b_instruct,landmark_in_country,198,2,200,0.99,hallucination_rate,0.5850472483231928,627,209,14,26,15,27,SyntHal
qwen2_5_7b_instruct,landmark_on_continent,197,3,200,0.985,hallucination_rate,0.620863458576341,710,237,14,26,15,27,SyntHal
qwen2_5_7b_instruct,person_father,177,23,200,0.885,hallucination_rate,0.3587875354267993,743,248,14,26,15,27,SyntHal
qwen2_5_7b_instruct,person_mother,152,48,200,0.76,hallucination_rate,0.343406881084699,745,249,14,26,15,27,SyntHal
qwen2_5_7b_instruct,person_occupation,198,2,200,0.99,hallucination_rate,0.5877032947868674,615,206,14,26,15,27,SyntHal
qwen2_5_7b_instruct,person_plays_instrument,200,0,200,1.0,hallucination_rate,0.6320450981451579,384,129,14,26,15,27,SyntHal
qwen2_5_7b_instruct,person_plays_position_in_sport,177,23,200,0.885,hallucination_rate,0.6141506351865939,714,238,14,26,15,27,SyntHal
qwen2_5_7b_instruct,person_plays_pro_sport,200,0,200,1.0,hallucination_rate,0.6506419172240998,238,80,14,26,15,27,SyntHal
qwen2_5_7b_instruct,person_university,197,3,200,0.985,hallucination_rate,0.5005335728868487,68,23,14,26,15,27,SyntHal
qwen2_5_7b_instruct,product_by_company,192,8,200,0.96,hallucination_rate,0.5755017915176841,391,131,14,26,15,27,SyntHal
qwen2_5_7b_instruct,star_constellation,161,39,200,0.805,hallucination_rate,0.5646375748940624,271,91,14,26,15,27,SyntHal
qwen2_5_7b_instruct,superhero_archnemesis,95,105,200,0.475,hallucination_rate,0.4326934012436669,72,24,14,26,15,27,SyntHal
qwen2_5_7b_instruct,superhero_person,185,15,200,0.925,hallucination_rate,0.4429137522379964,75,25,14,26,15,27,SyntHal
