model_key,n_rel,pearson_r,pearson_p,x_min,x_max,y_min,y_max
gemma_7b_it,15,0.7649940653455151,0.0008913895390567936,0.4027990704041456,0.8246669281927428,0.3846153846153846,1.0
llama3_1_8b_instruct,15,0.7571989482279875,0.0010796457039853797,0.464830571829115,0.8419199543262547,0.6519607843137255,0.9873817034700316
mistral_7b_instruct,15,0.7510542715099721,0.0012496676711301622,0.4245476092541797,0.8184956242398208,0.5636363636363636,0.975609756097561
qwen2_5_7b_instruct,15,0.8156666677188162,0.0002097206963537087,0.343406881084699,0.6506419172240998,0.4788732394366197,1.0
