scope,model_key,model_display,subset,n_rel,n_errors_total,pearson_r,pearson_p,spearman_rho,spearman_p
per_model,gemma_7b_it,Gemma-7B-IT,main_15_relations,15,3674,0.7649940653455152,0.0008913895390567886,0.7149243247970778,0.00273901155252088
per_model,llama3_1_8b_instruct,Llama-3.1-8B-Instruct,main_15_relations,15,2641,0.7571989482279877,0.0010796457039853739,0.6857142857142856,0.004772245222691259
per_model,mistral_7b_instruct,Mistral-7B-Instruct,main_15_relations,15,3123,0.751054271509972,0.0012496676711301687,0.6714285714285713,0.006127766788820108
per_model,qwen2_5_7b_instruct,Qwen2.5-7B-Instruct,main_15_relations,15,4522,0.8156666677188162,0.0002097206963537087,0.7214285714285712,0.0023988680726733424
pooled_model_centered,ALL,ALL,main_15_relations,60,13960,0.7409916548021365,1.2941467983827952e-11,0.6855332806063162,1.5119968928428375e-09
